zoo_sciName,mamPhy_tiplabel,synonym,synonymNotes,synonymLink,zoo_SourceCode,zoo_Source,zoo_Accession,zoo_IUCN,zoo_Common Name,zoo_Order,zoo_Family,zoo_subspecies
Equus_przewalskii,Equus_ferus_EQUIDAE_PERISSODACTYLA,1,wild form of E. caballus; includes przewalskii,https://www.mammaldiversity.org/explore.html#genus=Equus&species=ferus&id=1006123,2,2. Existing assembly,GCF_000696695.1,EN,Przewalski's horse,PERISSODACTYLA,Equidae,NA
Erinaceus_europaeus,Erinaceus_europaeus_ERINACEIDAE_EULIPOTYPHLA,0,NA,NA,2,2. Existing assembly,GCF_000296755.1,LC,Western european hedgehog,EULIPOTYPHLA,Erinaceidae,NA
Erythrocebus_patas,Erythrocebus_patas_CERCOPITHECIDAE_PRIMATES,0,NA,NA,1,1. Zoonomia,GCA_004027335.1,LC,Patas monkey,PRIMATES,Cercopithecidae,NA
Eschrichtius_robustus,Eschrichtius_robustus_ESCHRICHTIIDAE_CETARTIODACTYLA,0,NA,NA,1,1. Zoonomia,GCA_004363415.1,LC,Grey whale,CETARTIODACTYLA,Eschrichtiidae,NA
Eubalaena_japonica,Eubalaena_japonica_BALAENIDAE_CETARTIODACTYLA,0,NA,NA,1,1. Zoonomia,GCA_004363455.1,EN,North Pacific right whale,CETARTIODACTYLA,Balaenidae,NA
Eulemur_flavifrons,Eulemur_flavifrons_LEMURIDAE_PRIMATES,0,NA,NA,2,2. Existing assembly,GCA_001262665.1,CR,Sclater's lemur,PRIMATES,Lemuridae,NA
Eulemur_fulvus,Eulemur_fulvus_LEMURIDAE_PRIMATES,0,NA,NA,1,1. Zoonomia,GCA_004027275.1,NT,Common brown lemur,PRIMATES,Lemuridae,NA
Felis_catus,Felis_catus_FELIDAE_CARNIVORA,0,NA,NA,2,2. Existing assembly,GCF_000181335.2,LC,Domestic cat,CARNIVORA,Felidae,NA
Felis_nigripes,Felis_nigripes_FELIDAE_CARNIVORA,0,NA,NA,1,1. Zoonomia,GCA_004023925.1,VU,Black-footed cat,CARNIVORA,Felidae,NA
Fukomys_damarensis,Fukomys_damarensis_BATHYERGIDAE_RODENTIA,0,NA,NA,2,2. Existing assembly,GCF_000743615.1,LC,Damara mole-rat,RODENTIA,Bathyergidae,NA
