sciName,tiplabel,GENUS,FAMILY,ORDER,MSW3_sciName_matched,genes,extinct.,samp,BM,BodyMass_imp.,BM_SourceDB,BM_Method,BM_Ref,latCat,latMids,Lat_centroid,Lon_centroid,lat_min,lat_max,lon_min,lon_max
Echymipera_davidi,Echymipera_davidi_PERAMELIDAE_PERAMELEMORPHIA,Echymipera,PERAMELIDAE,PERAMELEMORPHIA,Echymipera_davidi,0,0,imputed,0.95,FALSE,FS2016,Reported,Ecological_Archives_E084-094_(2003),1,-8.603815,-8.551600068,151.0810599,-8.802208,-8.405422,150.993423,151.151367
Echymipera_echinista,Echymipera_echinista_PERAMELIDAE_PERAMELEMORPHIA,Echymipera,PERAMELIDAE,PERAMELEMORPHIA,Echymipera_echinista,0,0,imputed,1,FALSE,FS2016,Reported,Ecological_Archives_E084-094_(2003),1,-7.1603965,-7.613879748,142.6821446,-8.949104,-5.371689,142.120732,143.060259
Echymipera_kalubu,Echymipera_kalubu_PERAMELIDAE_PERAMELEMORPHIA,Echymipera,PERAMELIDAE,PERAMELEMORPHIA,Echymipera_kalubu,26,0,sampled,0.7822,FALSE,FS2016,Reported,Ecological_Archives_E084-094_(2003),1,-5.35571,-5.313004179,141.2092691,-10.70373,-0.00769,129.712723,152.400208
Echymipera_rufescens,Echymipera_rufescens_PERAMELIDAE_PERAMELEMORPHIA,Echymipera,PERAMELIDAE,PERAMELEMORPHIA,Echymipera_rufescens,9,0,sampled,1.1,FALSE,FS2016,Reported,Ecological_Archives_E084-094_(2003),1,-7.558622,-5.868813761,140.9450728,-14.774006,-0.343238,129.712723,151.293625
Ectophylla_alba,Ectophylla_alba_PHYLLOSTOMIDAE_CHIROPTERA,Ectophylla,PHYLLOSTOMIDAE,CHIROPTERA,Ectophylla_alba,5,0,sampled,0.0058,FALSE,FS2016,Reported,Ecological_Archives_E084-094_(2003),1,12.644536,13.33003508,-84.44364031,9.293136,15.995936,-86.0089,-82.4178
Eidolon_dupreanum,Eidolon_dupreanum_PTEROPODIDAE_CHIROPTERA,Eidolon,PTEROPODIDAE,CHIROPTERA,Eidolon_dupreanum,3,0,sampled,0.2838,FALSE,FS2016,Reported,Ecological_Archives_E084-094_(2003),0,-18.777214,-19.7056292,46.14107819,-25.608964,-11.945464,43.2257,49.5592
Eidolon_helvum,Eidolon_helvum_PTEROPODIDAE_CHIROPTERA,Eidolon,PTEROPODIDAE,CHIROPTERA,Eidolon_helvum,5,0,sampled,0.2533,FALSE,FS2016,Reported,Ecological_Archives_E084-094_(2003),0,-6.496564,-2.2811569,20.54492298,-33.060164,20.067036,-17.5348,45.3086
Eira_barbara,Eira_barbara_MUSTELIDAE_CARNIVORA,Eira,MUSTELIDAE,CARNIVORA,Eira_barbara,12,0,sampled,3.91,FALSE,FS2016,Reported,Ecological_Archives_E084-094_(2003),2,-4.4991045,-5.677224602,-62.48591995,-33.756733,24.758524,-107.19651,-37.896039
Elaphodus_cephalophus,Elaphodus_cephalophus_CERVIDAE_CETARTIODACTYLA,Elaphodus,CERVIDAE,CETARTIODACTYLA,Elaphodus_cephalophus,3,0,sampled,33.5,FALSE,FS2016,Reported,Ecological_Archives_E084-094_(2003),0,28.101036,28.22116038,108.4728897,22.118636,34.083436,97.5545,122.136475
Elaphurus_davidianus,Elaphurus_davidianus_CERVIDAE_CETARTIODACTYLA,Elaphurus,CERVIDAE,CETARTIODACTYLA,Elaphurus_davidianus,6,0,sampled,149,FALSE,FS2016,Reported,Ecological_Archives_E084-094_(2003),2,34.441136,32.87786303,113.5380634,29.749736,39.132536,112.5429,120.7763
Elephantulus_brachyrhynchus,Elephantulus_brachyrhynchus_MACROSCELIDIDAE_MACROSCELIDEA,Elephantulus,MACROSCELIDIDAE,MACROSCELIDEA,Elephantulus_brachyrhynchus,3,0,sampled,0.0475,FALSE,FS2016,Reported,Ecological_Archives_E084-094_(2003),0,-12.0677765,-12.74354359,27.54254815,-26.685052,2.549499,13.114168,38.657716
Elephantulus_edwardii,Elephantulus_edwardii_MACROSCELIDIDAE_MACROSCELIDEA,Elephantulus,MACROSCELIDIDAE,MACROSCELIDEA,Elephantulus_edwardii,26,0,sampled,0.048,FALSE,FS2016,Reported,Ecological_Archives_E084-094_(2003),2,-31.237064,-32.43907306,21.59569498,-34.387951,-28.086177,16.9087,25.570944
Elephantulus_fuscipes,Elephantulus_fuscipes_MACROSCELIDIDAE_MACROSCELIDEA,Elephantulus,MACROSCELIDIDAE,MACROSCELIDEA,Elephantulus_fuscipes,0,0,imputed,0.057,FALSE,FS2016,Reported,Ecological_Archives_E084-094_(2003),1,3.68028,3.505624174,30.37438962,1.514591,5.845969,27.714511,33.854609
Elephantulus_fuscus,Elephantulus_fuscus_MACROSCELIDIDAE_MACROSCELIDEA,Elephantulus,MACROSCELIDIDAE,MACROSCELIDEA,Elephantulus_fuscus,0,0,imputed,0.54,FALSE,FS2016,Reported,Ecological_Archives_E084-094_(2003),1,-16.922758,-16.73403311,34.176304,-19.862743,-13.982773,31.57198,36.834767
Elephantulus_intufi,Elephantulus_intufi_MACROSCELIDIDAE_MACROSCELIDEA,Elephantulus,MACROSCELIDIDAE,MACROSCELIDEA,Elephantulus_intufi,3,0,sampled,0.0495,FALSE,FS2016,Reported,Ecological_Archives_E084-094_(2003),0,-20.147765,-21.71887534,19.45503185,-28.353072,-11.942458,12.176557,30.208229
Elephantulus_myurus,Elephantulus_myurus_MACROSCELIDIDAE_MACROSCELIDEA,Elephantulus,MACROSCELIDIDAE,MACROSCELIDEA,Elephantulus_myurus,3,0,sampled,0.0524,FALSE,FS2016,Reported,Ecological_Archives_E084-094_(2003),0,-23.7200145,-23.26406712,28.91269078,-31.73984,-15.700189,23.691205,33.659362
Elephantulus_pilicaudus,Elephantulus_pilicaudus_MACROSCELIDIDAE_MACROSCELIDEA,Elephantulus,MACROSCELIDIDAE,MACROSCELIDEA,NA,0,0,imputed,0.045,FALSE,FS2016,Reported,Journal_of_Mammalogy_89:_1257-1268_(2008),2,-31.375815,-31.55923595,21.5475959,-32.258924,-30.492706,19.818467,22.605402
Elephantulus_revoilii,Elephantulus_revoilii_MACROSCELIDIDAE_MACROSCELIDEA,Elephantulus,MACROSCELIDIDAE,MACROSCELIDEA,NA,0,0,imputed,1.423779264,TRUE,NA,NA,NA,1,9.686136,9.730293687,46.98027506,8.049736,11.322536,44.1728,48.9629
Elephantulus_rozeti,Elephantulus_rozeti_MACROSCELIDIDAE_MACROSCELIDEA,Elephantulus,MACROSCELIDIDAE,MACROSCELIDEA,Elephantulus_rozeti,3,0,sampled,0.048,FALSE,FS2016,Reported,Ecological_Archives_E084-094_(2003),2,31.256055,33.0930894,-1.158608327,25.832657,36.679453,-12.642728,13.229178
